"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Washington State Referendum Measure No. 90","Approved"," ","1768","30.9361","State Executive"
"Adams","Washington State Referendum Measure No. 90","Rejected"," ","3947","69.0639","State Executive"
"Adams","Washington State Advisory Vote No. 32","Repealed"," ","4626","82.681","State Executive"
"Adams","Washington State Advisory Vote No. 32","Maintained"," ","969","17.319","State Executive"
"Adams","Washington State Advisory Vote No. 33","Repealed"," ","4457","79.9319","State Executive"
"Adams","Washington State Advisory Vote No. 33","Maintained"," ","1119","20.0681","State Executive"
"Adams","Washington State Advisory Vote No. 34","Repealed"," ","4550","82.0855","State Executive"
"Adams","Washington State Advisory Vote No. 34","Maintained"," ","993","17.9145","State Executive"
"Adams","Washington State Advisory Vote No. 35","Repealed"," ","4025","72.8771","State Executive"
"Adams","Washington State Advisory Vote No. 35","Maintained"," ","1498","27.1229","State Executive"
"Adams","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","1685","30.344","State Executive"
"Adams","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","3868","69.656","State Executive"
"Adams"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","1814","30.9451","Federal"
"Adams"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","3907","66.6496","Federal"
"Adams"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","82","1.3988","Federal"
"Adams"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","18","0.3071","Federal"
"Adams"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","10","0.1706","Federal"
"Adams"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","5","0.0853","Federal"
"Adams"," President/Vice President","WRITE-IN"," ","26","0.4435","Federal"
"Adams","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","4265","74.0323","Congressional"
"Adams","Congressional District 4 U.S. Representative","Douglas E. McKinley","(Prefers Democratic Party)","1488","25.8288","Congressional"
"Adams","Congressional District 4 U.S. Representative","WRITE-IN"," ","8","0.1389","Congressional"
"Adams","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","1655","28.339","State Executive"
"Adams","Washington State Governor","Loren Culp","(Prefers Republican Party)","4170","71.4041","State Executive"
"Adams","Washington State Governor","WRITE-IN"," ","15","0.2568","State Executive"
"Adams","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","1745","35.4675","State Executive"
"Adams","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","1263","25.6707","State Executive"
"Adams","Washington State Lt. Governor","WRITE-IN"," ","1912","38.8618","State Executive"
"Adams","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","4188","73.7324","State Executive"
"Adams","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","1473","25.9331","State Executive"
"Adams","Washington State Secretary of State","WRITE-IN"," ","19","0.3345","State Executive"
"Adams","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","1601","28.5129","State Executive"
"Adams","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","4007","71.3624","State Executive"
"Adams","Washington State State Treasurer","WRITE-IN"," ","7","0.1247","State Executive"
"Adams","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","1828","32.4056","State Executive"
"Adams","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","3804","67.4349","State Executive"
"Adams","Washington State State Auditor","WRITE-IN"," ","9","0.1595","State Executive"
"Adams","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","1772","31.3351","State Executive"
"Adams","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","3876","68.5411","State Executive"
"Adams","Washington State Attorney General","WRITE-IN"," ","7","0.1238","State Executive"
"Adams","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","1791","31.8061","State Executive"
"Adams","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","3829","67.9986","State Executive"
"Adams","Washington State Commissioner of Public Lands","WRITE-IN"," ","11","0.1953","State Executive"
"Adams","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","2205","42.3062","State Executive"
"Adams","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","2976","57.099","State Executive"
"Adams","Washington State Superintendent of Public Instruction","WRITE-IN"," ","31","0.5948","State Executive"
"Adams","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","2187","39.7492","State Executive"
"Adams","Washington State Insurance Commissioner","Chirayu Avinash Patel","(Prefers Republican Party)","3293","59.851","State Executive"
"Adams","Washington State Insurance Commissioner","WRITE-IN"," ","22","0.3999","State Executive"
"Adams","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers GOP Party)","4124","73.7482","Legislative"
"Adams","Legislative District 9 State Senator","Jenn Goulet","(Prefers Democratic Party)","1428","25.5365","Legislative"
"Adams","Legislative District 9 State Senator","WRITE-IN"," ","40","0.7153","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican Party)","4424","79.683","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","Brett Borden","(Prefers Libertarian Party)","1102","19.8487","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","26","0.4683","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)","4888","97.2736","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","137","2.7264","Legislative"
"Adams"," County Commissioner District 1","Dan Blankenship","(Prefers Republican Party)","3413","63.3092","County"
"Adams"," County Commissioner District 1","John N Marshall","(Prefers Republican Party)","1905","35.3367","County"
"Adams"," County Commissioner District 1","WRITE-IN"," ","73","1.3541","County"
"Adams"," County Commissioner District 2","Jay R Weise","(Prefers Republican Party)","3921","71.9846","County"
"Adams"," County Commissioner District 2","Ken Johnson","(Prefers Republican Party)","1455","26.712","County"
"Adams"," County Commissioner District 2","WRITE-IN"," ","71","1.3035","County"
"Adams","Supreme Court Justice Position #03","Dave Larson"," ","2931","57.7651","Judicial"
"Adams","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","2120","41.7816","Judicial"
"Adams","Supreme Court Justice Position #03","WRITE-IN"," ","23","0.4533","Judicial"
"Adams","Supreme Court Justice Position #04","Charles W. Johnson"," ","4350","98.2385","Judicial"
"Adams","Supreme Court Justice Position #04","WRITE-IN"," ","78","1.7615","Judicial"
"Adams","Supreme Court Justice Position #06","Richard S. Serns"," ","2611","53.2531","Judicial"
"Adams","Supreme Court Justice Position #06","G. Helen Whitener"," ","2253","45.9515","Judicial"
"Adams","Supreme Court Justice Position #06","WRITE-IN"," ","39","0.7954","Judicial"
"Adams","Supreme Court Justice Position #07","Debra L. Stephens"," ","4372","97.8295","Judicial"
"Adams","Supreme Court Justice Position #07","WRITE-IN"," ","97","2.1705","Judicial"
"Adams","Adams Superior Court  Judge Position 1","Steve Dixon"," ","4501","97.9756","Judicial"
"Adams","Adams Superior Court  Judge Position 1","WRITE-IN"," ","93","2.0244","Judicial"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Replacement Capital Levy","Levy Yes"," ","13","86.6667","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Replacement Capital Levy","Levy No"," ","2","13.3333","School"
"Adams","Warden School Dist #146 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...YES"," ","12","57.1429","School"
"Adams","Warden School Dist #146 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...NO"," ","9","42.8571","School"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Approved"," ","9","100","Fire"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Rejected"," ","0","0","Fire"
"Adams","RITZVILLE PARK AND RECREATION 4 Maintenance and Operation Levy","Approved"," ","760","56.2963","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Maintenance and Operation Levy","Rejected"," ","590","43.7037","Park and Recreation"
"Adams","CEMETERY DISTRICT 2 Maintenance and Operation Levy","Approved"," ","1810","53.2196","Cemetery"
"Adams","CEMETERY DISTRICT 2 Maintenance and Operation Levy","Rejected"," ","1591","46.7804","Cemetery"
"Asotin","Washington State Referendum Measure No. 90","Approved"," ","5559","48.2008","State Executive"
"Asotin","Washington State Referendum Measure No. 90","Rejected"," ","5974","51.7992","State Executive"
"Asotin","Washington State Advisory Vote No. 32","Repealed"," ","8640","76.9848","State Executive"
"Asotin","Washington State Advisory Vote No. 32","Maintained"," ","2583","23.0152","State Executive"
"Asotin","Washington State Advisory Vote No. 33","Repealed"," ","8402","75.4829","State Executive"
"Asotin","Washington State Advisory Vote No. 33","Maintained"," ","2729","24.5171","State Executive"
"Asotin","Washington State Advisory Vote No. 34","Repealed"," ","8517","77.371","State Executive"
"Asotin","Washington State Advisory Vote No. 34","Maintained"," ","2491","22.629","State Executive"
"Asotin","Washington State Advisory Vote No. 35","Repealed"," ","7393","66.7359","State Executive"
"Asotin","Washington State Advisory Vote No. 35","Maintained"," ","3685","33.2641","State Executive"
"Asotin","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","4075","36.593","State Executive"
"Asotin","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","7061","63.407","State Executive"
"Asotin"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","4250","35.5619","Federal"
"Asotin"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","7319","61.2417","Federal"
"Asotin"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","260","2.1756","Federal"
"Asotin"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","36","0.3012","Federal"
"Asotin"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","9","0.0753","Federal"
"Asotin"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","6","0.0502","Federal"
"Asotin"," President/Vice President","WRITE-IN"," ","71","0.5941","Federal"
"Asotin","Congressional District 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","8195","69.638","Congressional"
"Asotin","Congressional District 5 U.S. Representative","Dave Wilson","(Prefers Democratic Party)","3550","30.1666","Congressional"
"Asotin","Congressional District 5 U.S. Representative","WRITE-IN"," ","23","0.1954","Congressional"
"Asotin","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","4212","35.4874","State Executive"
"Asotin","Washington State Governor","Loren Culp","(Prefers Republican Party)","7627","64.2598","State Executive"
"Asotin","Washington State Governor","WRITE-IN"," ","30","0.2528","State Executive"
"Asotin","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","4787","49.8698","State Executive"
"Asotin","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","3024","31.5033","State Executive"
"Asotin","Washington State Lt. Governor","WRITE-IN"," ","1788","18.6269","State Executive"
"Asotin","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","7935","68.7013","State Executive"
"Asotin","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","3587","31.0563","State Executive"
"Asotin","Washington State Secretary of State","WRITE-IN"," ","28","0.2424","State Executive"
"Asotin","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","3956","34.406","State Executive"
"Asotin","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","7517","65.3766","State Executive"
"Asotin","Washington State State Treasurer","WRITE-IN"," ","25","0.2174","State Executive"
"Asotin","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","4305","37.7665","State Executive"
"Asotin","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","7070","62.023","State Executive"
"Asotin","Washington State State Auditor","WRITE-IN"," ","24","0.2105","State Executive"
"Asotin","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","4182","36.5176","State Executive"
"Asotin","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","7255","63.3514","State Executive"
"Asotin","Washington State Attorney General","WRITE-IN"," ","15","0.131","State Executive"
"Asotin","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","4013","35.3226","State Executive"
"Asotin","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","7326","64.4838","State Executive"
"Asotin","Washington State Commissioner of Public Lands","WRITE-IN"," ","22","0.1936","State Executive"
"Asotin","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","5207","51.708","State Executive"
"Asotin","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","4788","47.5472","State Executive"
"Asotin","Washington State Superintendent of Public Instruction","WRITE-IN"," ","75","0.7448","State Executive"
"Asotin","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","5191","46.9689","State Executive"
"Asotin","Washington State Insurance Commissioner","Chirayu Avinash Patel","(Prefers Republican Party)","5802","52.4973","State Executive"
"Asotin","Washington State Insurance Commissioner","WRITE-IN"," ","59","0.5338","State Executive"
"Asotin","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers GOP Party)","7489","66.9438","Legislative"
"Asotin","Legislative District 9 State Senator","Jenn Goulet","(Prefers Democratic Party)","3635","32.4931","Legislative"
"Asotin","Legislative District 9 State Senator","WRITE-IN"," ","63","0.5632","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican Party)","8395","76.3112","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 1","Brett Borden","(Prefers Libertarian Party)","2507","22.7888","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","99","0.8999","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)","9063","95.41","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","436","4.59","Legislative"
"Asotin"," COUNTY COMMISSIONER 1","Brian Shinn","(Prefers States No Party Preference Party)","7199","67.6979","County"
"Asotin"," COUNTY COMMISSIONER 1","Brad Gary"," ","3344","31.4463","County"
"Asotin"," COUNTY COMMISSIONER 1","WRITE-IN"," ","91","0.8557","County"
"Asotin"," COUNTY COMMISSIONER 2","Chris Seubert","(Prefers Republican Party)","7552","68.2266","County"
"Asotin"," COUNTY COMMISSIONER 2","Michael (Mike) Henze"," ","3483","31.4663","County"
"Asotin"," COUNTY COMMISSIONER 2","WRITE-IN"," ","34","0.3072","County"
"Asotin"," COUNTY COMMISSIONER 3","Chuck Whitman","(Prefers Republican Party)","9099","96.5309","County"
"Asotin"," COUNTY COMMISSIONER 3","WRITE-IN"," ","327","3.4691","County"
"Asotin","Supreme Court Justice Position #03","Dave Larson"," ","5487","54.2569","Judicial"
"Asotin","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","4555","45.041","Judicial"
"Asotin","Supreme Court Justice Position #03","WRITE-IN"," ","71","0.7021","Judicial"
"Asotin","Supreme Court Justice Position #04","Charles W. Johnson"," ","8509","98.2564","Judicial"
"Asotin","Supreme Court Justice Position #04","WRITE-IN"," ","151","1.7436","Judicial"
"Asotin","Supreme Court Justice Position #06","Richard S. Serns"," ","4361","44.2921","Judicial"
"Asotin","Supreme Court Justice Position #06","G. Helen Whitener"," ","5408","54.9259","Judicial"
"Asotin","Supreme Court Justice Position #06","WRITE-IN"," ","77","0.782","Judicial"
"Asotin","Supreme Court Justice Position #07","Debra L. Stephens"," ","8454","98.4511","Judicial"
"Asotin","Supreme Court Justice Position #07","WRITE-IN"," ","133","1.5489","Judicial"
"Asotin","Asotin, Columbia, Garfield Superior Court Judge Position 1","Brooke J. Burns"," ","7162","65.2574","Judicial"
"Asotin","Asotin, Columbia, Garfield Superior Court Judge Position 1","G. Scott Marinella"," ","3776","34.4055","Judicial"
"Asotin","Asotin, Columbia, Garfield Superior Court Judge Position 1","WRITE-IN"," ","37","0.3371","Judicial"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 1","Joe Louis"," ","3682","40","Public Utility"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 1","Judy Ridge"," ","5472","59.446","Public Utility"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 1","WRITE-IN"," ","51","0.554","Public Utility"
"Asotin","EMS - RURAL DISTRICT Asotin County Rural Emergency Medical Service District No. 2","Yes"," ","262","60.0917","EMS"
"Asotin","EMS - RURAL DISTRICT Asotin County Rural Emergency Medical Service District No. 2","No"," ","174","39.9083","EMS"
"Asotin","CITY OF CLARKSTON Emergency Medical Services Excess Tax Levy","Yes, Levy"," ","2079","72.6415","City/Town"
"Asotin","CITY OF CLARKSTON Emergency Medical Services Excess Tax Levy","No, Levy"," ","783","27.3585","City/Town"
"Asotin","SCHOOL DISTRICT 420 Replacement Educational Programs and Operation Levy","Yes, Levy"," ","1240","59.6728","School"
"Asotin","SCHOOL DISTRICT 420 Replacement Educational Programs and Operation Levy","No, Levy"," ","838","40.3272","School"
"Asotin","SCHOOL DISTRICT 420 Replacement Capital Levy for Instructional Technology, Safety and Facility Improvements","Yes, Levy"," ","1333","64.21","School"
"Asotin","SCHOOL DISTRICT 420 Replacement Capital Levy for Instructional Technology, Safety and Facility Improvements","No, Levy"," ","743","35.79","School"
"Benton","Washington State Referendum Measure No. 90","Approved"," ","37867","37.5255","State Executive"
"Benton","Washington State Referendum Measure No. 90","Rejected"," ","63043","62.4745","State Executive"
"Benton","Washington State Advisory Vote No. 32","Repealed"," ","73685","75.1995","State Executive"
"Benton","Washington State Advisory Vote No. 32","Maintained"," ","24301","24.8005","State Executive"
"Benton","Washington State Advisory Vote No. 33","Repealed"," ","72074","74.1853","State Executive"
"Benton","Washington State Advisory Vote No. 33","Maintained"," ","25080","25.8147","State Executive"
"Benton","Washington State Advisory Vote No. 34","Repealed"," ","73573","76.3467","State Executive"
"Benton","Washington State Advisory Vote No. 34","Maintained"," ","22794","23.6533","State Executive"
"Benton","Washington State Advisory Vote No. 35","Repealed"," ","66130","68.2351","State Executive"
"Benton","Washington State Advisory Vote No. 35","Maintained"," ","30785","31.7649","State Executive"
"Benton","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","32915","33.9992","State Executive"
"Benton","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","63896","66.0008","State Executive"
"Benton"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","38706","37.5666","Federal"
"Benton"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","60365","58.588","Federal"
"Benton"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","2706","2.6263","Federal"
"Benton"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","354","0.3436","Federal"
"Benton"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","119","0.1155","Federal"
"Benton"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","57","0.0553","Federal"
"Benton"," President/Vice President","WRITE-IN"," ","726","0.7046","Federal"
"Benton","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","68743","67.7879","Congressional"
"Benton","Congressional District 4 U.S. Representative","Douglas E. McKinley","(Prefers Democratic Party)","32469","32.0179","Congressional"
"Benton","Congressional District 4 U.S. Representative","WRITE-IN"," ","197","0.1943","Congressional"
"Benton","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","36939","36.0314","State Executive"
"Benton","Washington State Governor","Loren Culp","(Prefers Republican Party)","65170","63.5687","State Executive"
"Benton","Washington State Governor","WRITE-IN"," ","410","0.3999","State Executive"
"Benton","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","31966","35.5985","State Executive"
"Benton","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","25824","28.7585","State Executive"
"Benton","Washington State Lt. Governor","WRITE-IN"," ","32006","35.643","State Executive"
"Benton","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","69494","69.9853","State Executive"
"Benton","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","29698","29.908","State Executive"
"Benton","Washington State Secretary of State","WRITE-IN"," ","106","0.1067","State Executive"
"Benton","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","32144","32.4733","State Executive"
"Benton","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","66762","67.4459","State Executive"
"Benton","Washington State State Treasurer","WRITE-IN"," ","80","0.0808","State Executive"
"Benton","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","38421","39.0255","State Executive"
"Benton","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","59943","60.8861","State Executive"
"Benton","Washington State State Auditor","WRITE-IN"," ","87","0.0884","State Executive"
"Benton","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","37124","37.3151","State Executive"
"Benton","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","62257","62.5774","State Executive"
"Benton","Washington State Attorney General","WRITE-IN"," ","107","0.1076","State Executive"
"Benton","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","35757","36.3159","State Executive"
"Benton","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","62602","63.5805","State Executive"
"Benton","Washington State Commissioner of Public Lands","WRITE-IN"," ","102","0.1036","State Executive"
"Benton","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","42973","46.946","State Executive"
"Benton","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","48069","52.5132","State Executive"
"Benton","Washington State Superintendent of Public Instruction","WRITE-IN"," ","495","0.5408","State Executive"
"Benton","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","46327","48.093","State Executive"
"Benton","Washington State Insurance Commissioner","Chirayu Avinash Patel","(Prefers Republican Party)","49374","51.2561","State Executive"
"Benton","Washington State Insurance Commissioner","WRITE-IN"," ","627","0.6509","State Executive"
"Benton","Legislative District 8 State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)","51981","65.743","Legislative"
"Benton","Legislative District 8 State Representative Pos. 1","Shir Regev","(Prefers Democractic Party)","26979","34.1217","Legislative"
"Benton","Legislative District 8 State Representative Pos. 1","WRITE-IN"," ","107","0.1353","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","Matt Boehnke","(Prefers Republican Party)","59046","78.6274","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","Larry Stanley","(Prefers The Alliance Party)","15452","20.5763","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","WRITE-IN"," ","598","0.7963","Legislative"
"Benton","Legislative District 16 State Senator","Danielle Garbe Reser","(Prefers Democratic Party)","5900","29.5754","Legislative"
"Benton","Legislative District 16 State Senator","Perry Dozier","(Prefers Republican Party)","14028","70.3193","Legislative"
"Benton","Legislative District 16 State Senator","WRITE-IN"," ","21","0.1053","Legislative"
"Benton","Legislative District 16 State Representative Pos. 1","Mark Klicker","(Prefers Republican Party)","14608","73.5808","Legislative"
"Benton","Legislative District 16 State Representative Pos. 1","Frances Chvatal","(Prefers Democratic Party)","5233","26.3587","Legislative"
"Benton","Legislative District 16 State Representative Pos. 1","WRITE-IN"," ","12","0.0604","Legislative"
"Benton","Legislative District 16 State Representative Pos. 2","Skyler Rude","(Prefers Republican Party)","15112","76.2231","Legislative"
"Benton","Legislative District 16 State Representative Pos. 2","Carly Coburn","(Prefers Democratic Party)","4691","23.6608","Legislative"
"Benton","Legislative District 16 State Representative Pos. 2","WRITE-IN"," ","23","0.116","Legislative"
"Benton"," Commissioner District #1","Justin Raffa","(Prefers Democratic Party)","37217","37.9665","County"
"Benton"," Commissioner District #1","Jerome Delvin","(Prefers Republican Party)","60523","61.7418","County"
"Benton"," Commissioner District #1","WRITE-IN"," ","286","0.2918","County"
"Benton"," Commissioner District #3","Will McKay","(Prefers Republican Party)","54315","60.2108","County"
"Benton"," Commissioner District #3","James R. Beaver","(Prefers Republican Party)","34613","38.3702","County"
"Benton"," Commissioner District #3","WRITE-IN"," ","1280","1.4189","County"
"Benton","Supreme Court Justice Position #03","Dave Larson"," ","50171","55.9108","Judicial"
"Benton","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","39266","43.7582","Judicial"
"Benton","Supreme Court Justice Position #03","WRITE-IN"," ","297","0.331","Judicial"
"Benton","Supreme Court Justice Position #04","Charles W. Johnson"," ","71508","97.6592","Judicial"
"Benton","Supreme Court Justice Position #04","WRITE-IN"," ","1714","2.3408","Judicial"
"Benton","Supreme Court Justice Position #06","Richard S. Serns"," ","38805","45.0823","Judicial"
"Benton","Supreme Court Justice Position #06","G. Helen Whitener"," ","46820","54.3938","Judicial"
"Benton","Supreme Court Justice Position #06","WRITE-IN"," ","451","0.524","Judicial"
"Benton","Supreme Court Justice Position #07","Debra L. Stephens"," ","72406","97.8843","Judicial"
"Benton","Supreme Court Justice Position #07","WRITE-IN"," ","1565","2.1157","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 1","Dave Petersen"," ","54286","59.3387","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 1","Sharon Brown"," ","36838","40.2667","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 1","WRITE-IN"," ","361","0.3946","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 2","Joe Burrowes"," ","73456","98.6755","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 2","WRITE-IN"," ","986","1.3245","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 3","Alexander Carl Ekstrom"," ","71937","98.7318","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 3","WRITE-IN"," ","924","1.2682","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 4","Cameron Mitchell"," ","74104","98.9267","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 4","WRITE-IN"," ","804","1.0733","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 5","Sam Swanberg"," ","71905","98.7177","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 5","WRITE-IN"," ","934","1.2823","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 6","Carrie Runge"," ","70473","98.2024","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 6","WRITE-IN"," ","1290","1.7976","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 7","Jacqueline Shea Brown"," ","71728","98.5871","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 7","WRITE-IN"," ","1028","1.4129","Judicial"
"Benton","Benton County PUD Commissioner Pos. 2","Pat Tucker"," ","24137","41.0829","Public Utility"
"Benton","Benton County PUD Commissioner Pos. 2","Jeff Hall"," ","34298","58.3776","Public Utility"
"Benton","Benton County PUD Commissioner Pos. 2","WRITE-IN"," ","317","0.5396","Public Utility"
"Chelan","Washington State Referendum Measure No. 90","Approved"," ","18895","47.3108","State Executive"
"Chelan","Washington State Referendum Measure No. 90","Rejected"," ","21043","52.6892","State Executive"
"Chelan","Washington State Advisory Vote No. 32","Repealed"," ","27603","68.6215","State Executive"
"Chelan","Washington State Advisory Vote No. 32","Maintained"," ","12622","31.3785","State Executive"
"Chelan","Washington State Advisory Vote No. 33","Repealed"," ","27932","70.2886","State Executive"
"Chelan","Washington State Advisory Vote No. 33","Maintained"," ","11807","29.7114","State Executive"
"Chelan","Washington State Advisory Vote No. 34","Repealed"," ","28511","72.2236","State Executive"
