"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Grant","Legislative District 13 State Representative Pos. 1","WRITE-IN"," ","43","0.1316","Legislative"
"Grant","Legislative District 13 State Representative Pos. 2","Alex Ybarra","(Prefers Republican Party)","28039","98.0522","Legislative"
"Grant","Legislative District 13 State Representative Pos. 2","WRITE-IN"," ","557","1.9478","Legislative"
"Grant","Grant County Commissioner #1","Danny Stone","(Prefers Republican Party)","16674","50.9472","County"
"Grant","Grant County Commissioner #1","Earl Romig","(Prefers Republican Party)","15639","47.7848","County"
"Grant","Grant County Commissioner #1","WRITE-IN"," ","415","1.268","County"
"Grant","Grant County Commissioner #2","Rob Jones","(Prefers Republican Party)","18744","59.2714","County"
"Grant","Grant County Commissioner #2","Tom Taylor","(Prefers Republican Party)","12472","39.4384","County"
"Grant","Grant County Commissioner #2","WRITE-IN"," ","408","1.2902","County"
"Grant","Supreme Court Justice Position #03","Dave Larson"," ","18894","58.5262","Judicial"
"Grant","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","13295","41.1827","Judicial"
"Grant","Supreme Court Justice Position #03","WRITE-IN"," ","94","0.2912","Judicial"
"Grant","Supreme Court Justice Position #04","Charles W. Johnson"," ","26762","98.0473","Judicial"
"Grant","Supreme Court Justice Position #04","WRITE-IN"," ","533","1.9527","Judicial"
"Grant","Supreme Court Justice Position #06","Richard S. Serns"," ","15534","49.2205","Judicial"
"Grant","Supreme Court Justice Position #06","G. Helen Whitener"," ","15877","50.3074","Judicial"
"Grant","Supreme Court Justice Position #06","WRITE-IN"," ","149","0.4721","Judicial"
"Grant","Supreme Court Justice Position #07","Debra L. Stephens"," ","26763","98.0976","Judicial"
"Grant","Supreme Court Justice Position #07","WRITE-IN"," ","519","1.9024","Judicial"
"Grant","Grant Superior Court Judge Position #01","David Estudillo"," ","27504","98.4149","Judicial"
"Grant","Grant Superior Court Judge Position #01","WRITE-IN"," ","443","1.5851","Judicial"
"Grant","Grant Superior Court Judge Position #02","John D Knodell"," ","17275","53.1359","Judicial"
"Grant","Grant Superior Court Judge Position #02","Kevin J McCrae"," ","15091","46.4181","Judicial"
"Grant","Grant Superior Court Judge Position #02","WRITE-IN"," ","145","0.446","Judicial"
"Grant","Grant Superior Court Judge Position #03","John Antosz"," ","26907","98.4162","Judicial"
"Grant","Grant Superior Court Judge Position #03","WRITE-IN"," ","433","1.5838","Judicial"
"Grant","Warden School Dist #146 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...YES"," ","663","63.445","School"
"Grant","Warden School Dist #146 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...NO"," ","382","36.555","School"
"Grant","GRAND COULEE SCHOOL DIST #301 SUPPLEMENTAL EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...YES"," ","533","47.7599","School"
"Grant","GRAND COULEE SCHOOL DIST #301 SUPPLEMENTAL EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...NO"," ","583","52.2401","School"
"Grant","City of Electric City SPECIAL ONE YEAR MAINTENANCE AND OPERATION LEVY","SPECIAL LEVY YES:"," ","194","36.6038","City/Town"
"Grant","City of Electric City SPECIAL ONE YEAR MAINTENANCE AND OPERATION LEVY","SPECIAL LEVY NO:"," ","336","63.3962","City/Town"
"Grant","Grant County Fire Dist #6 TOWN OF HARTLINE ANNEXATION INTO GRANT COUNTY FIRE PROTECTION DISTRICT NO. 6","Yes"," ","81","95.2941","Fire"
"Grant","Grant County Fire Dist #6 TOWN OF HARTLINE ANNEXATION INTO GRANT COUNTY FIRE PROTECTION DISTRICT NO. 6","No"," ","4","4.7059","Fire"
"Grant","WILSON CREEK CEMETERY DIST #02 SPECIAL LEVY FOR MAINTENANCE AND OPERATIONS","SPECIAL LEVY...YES"," ","121","64.7059","Cemetery"
"Grant","WILSON CREEK CEMETERY DIST #02 SPECIAL LEVY FOR MAINTENANCE AND OPERATIONS","SPECIAL LEVY...NO"," ","66","35.2941","Cemetery"
"Grant","Grant County  Airport Dist #1 REGULAR PROPERTY TAX LEVY","Levy, Yes"," ","184","27.5449","Other"
"Grant","Grant County  Airport Dist #1 REGULAR PROPERTY TAX LEVY","Levy, No"," ","484","72.4551","Other"
"Grant","Grant County PUD All Commissioner Dist #3","Larry Schaapman","(Prefers States No Party Preference Party)","28418","98.7113","Public Utility"
"Grant","Grant County PUD All Commissioner Dist #3","WRITE-IN"," ","371","1.2887","Public Utility"
"Grant","Grant County PUD All Commissioner Dist #A AL","Tom Flint","(Prefers States No Party Preference Party)","28751","98.8618","Public Utility"
"Grant","Grant County PUD All Commissioner Dist #A AL","WRITE-IN"," ","331","1.1382","Public Utility"
"Grays Harbor","Washington State Referendum Measure No. 90","Approved"," ","16250","44.1924","State Executive"
"Grays Harbor","Washington State Referendum Measure No. 90","Rejected"," ","20521","55.8076","State Executive"
"Grays Harbor","Washington State Advisory Vote No. 32","Repealed"," ","27138","75.2391","State Executive"
"Grays Harbor","Washington State Advisory Vote No. 32","Maintained"," ","8931","24.7609","State Executive"
"Grays Harbor","Washington State Advisory Vote No. 33","Repealed"," ","26336","73.1881","State Executive"
"Grays Harbor","Washington State Advisory Vote No. 33","Maintained"," ","9648","26.8119","State Executive"
"Grays Harbor","Washington State Advisory Vote No. 34","Repealed"," ","26792","75.014","State Executive"
"Grays Harbor","Washington State Advisory Vote No. 34","Maintained"," ","8924","24.986","State Executive"
"Grays Harbor","Washington State Advisory Vote No. 35","Repealed"," ","23501","65.572","State Executive"
"Grays Harbor","Washington State Advisory Vote No. 35","Maintained"," ","12339","34.428","State Executive"
"Grays Harbor","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","11556","32.1921","State Executive"
"Grays Harbor","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","24341","67.8079","State Executive"
"Grays Harbor"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","17172","45.255","Federal"
"Grays Harbor"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","19590","51.6274","Federal"
