Pend Oreille, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),5655,66.8282,Federal
Pierce, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),249447,53.7629,Federal
Pierce, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),197691,42.608,Federal
San Juan, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),9606,73.9151,Federal
San Juan, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),2994,23.0379,Federal
Skagit, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),38033,52.0857,Federal
Skagit, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),32588,44.6289,Federal
Skamania, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),3100,43.6006,Federal
Skamania, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),3783,53.2068,Federal
Snohomish, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),256600,58.5109,Federal
Snohomish, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),166320,37.9249,Federal
Spokane, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),135511,45.9651,Federal
Spokane, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),148244,50.2841,Federal
Stevens, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),7721,27.4964,Federal
Stevens, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),19592,69.7721,Federal
Thurston, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),96530,57.4672,Federal
Thurston, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),65199,38.8149,Federal
Wahkiakum, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),1150,39.209,Federal
Wahkiakum, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),1711,58.3362,Federal
Walla Walla, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),13649,43.8156,Federal
Walla Walla, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),16344,52.467,Federal
Whatcom, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),83557,60.364,Federal
Whatcom, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),50407,36.4155,Federal
Whitman, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),11143,52.9082,Federal
Whitman, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),9048,42.9609,Federal
Yakima, President/Vice President,Joseph R. Biden / Kamala D. Harris,(Democratic Party Nominees),43162,44.8903,Federal
Yakima, President/Vice President,Donald J. Trump / Michael R. Pence,(Republican Party Nominees),50531,52.5543,Federal
